Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Tent Trasher,0.3,1.7,48.6,1,300
Hex,0.4,1.6,43.4,1,300
Felsaber,0.4,1.2,52.5,1,300
Robes of Protection,0.4,1.4,51.4,1,300
Savannah Highmane,0.5,1.7,42.5,1,300
Imprisoned Homunculus,0.2,1.5,40.7,1,300
Southsea Scoundrel,0.3,1.6,43.6,1,300
Kabal Outfitter,0.2,1.7,47.4,1,300
Ringmaster's Baton,0.2,1.7,44.8,1,200
Kurtrus Ashfallen,0.4,1,49.6,1,200
Baron Geddon,0.7,1,39.4,1,200
Stage Hand,0.2,1.8,47.0,1,200
Bola Shot,0.4,1.7,48.2,1,200
Mok'Nathal Lion,0.3,1.8,47.9,1,200
Tinyfin's Caravan,0.3,1.7,49.9,1,200
Overwhelm,0.3,1.9,50.3,1,200
Day at the Faire,0.3,1.8,45.9,1,200
Shadow Clone,0.3,1.6,45.0,1,200
Stiltstepper,0.3,1.7,51.4,1,200
Truesilver Champion,0.3,1.6,46.9,1,200
Bru'kan,0.6,1,52.0,1,200
Keli'dan the Breaker,0.4,1,51.4,1,200
Temple Enforcer,0.3,1.8,38.5,1,100
Gold Road Grunt,0.3,1.6,41.8,1,100
Magehunter,0.3,1.3,50.8,1,100
Razormane Raider,0.3,1.8,47.9,1,100
Vilefiend Trainer,0.2,1.8,50.4,1,100
Redgill Razorjaw,0.2,1.8,40.7,1,100
Imprisoned Satyr,0.2,1.7,46.0,1,100
Germination,0.4,1.7,41.7,1,100
Archspore Msshi'fn,0.4,1,45.9,1,100
Unbound Elemental,0.2,1.9,39.3,1,100
Feat of Strength,0.2,1.6,41.5,1,100
Grimoire of Sacrifice,0.3,1.6,41.0,1,100
Fiery War Axe,0.3,1.9,31.9,1,100
Blood of G'huun,0.4,1.4,42.0,1,100
Vulpera Toxinblade,0.2,1.7,44.6,1,000
Ironbark,0.2,1.6,42.3,1,000
Grand Finale,0.5,1.3,49.4,1,000
Throw Glaive,0.3,1.2,46.3,1,000
Snack Run,0.2,1.6,49.3,1,000
Stand Against Darkness,0.3,1.9,42.7,1,000
Steeldancer,0.2,1.7,47.7,1,000
Dark Inquisitor Xanesh,0.3,1,46.4,1,000
Magicfin,0.3,1.5,52.3,1,000
Carnival Barker,0.3,1.7,45.8,1,000
Dreadlord's Bite,0.2,1.6,47.5,1,000
Speaker Gidra,0.4,1,48.5,1,000
Mistrunner,0.4,1.4,54.3,1,000
Augmented Porcupine,0.2,1.7,49.5,1,000
Prospector's Caravan,0.2,1.5,45.4,1,000
Ironclad,0.2,1.8,39.0,1,000
Moontouched Amulet,0.2,1.7,44.3,1,000
Horrendous Growth,0.3,1.4,45.0,970
Insatiable Felhound,0.2,1.6,47.6,970
Rune Dagger,0.2,1.8,41.8,970
Sunwell Initiate,0.2,1.8,47.3,970
Fizzy Elemental,0.3,1.6,44.0,960
Aldor Peacekeeper,0.3,1.6,45.9,960
Bulwark of Azzinoth,0.3,1,45.2,950
Open the Cages,0.3,1.4,51.5,950
Warhorse Trainer,0.2,1.8,40.7,950
