Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Blademaster Samuro,2.0,1,58.9,2,600
Shadow Hunter Vol'jin,1.9,1,50.0,2,600
Rally!,1.2,1.8,50.7,2,600
Lord Godfrey,2.5,1,55.7,2,600
Seal Fate,0.8,1.7,52.7,2,600
Mirror Image,0.9,1.4,50.6,2,600
Violet Spellwing,0.8,1.7,54.8,2,600
Flame Imp,0.8,1.9,49.1,2,600
Field Contact,0.8,1.7,49.8,2,600
Tracking,1.3,1.5,53.2,2,600
Mana Burn,1.0,1.8,55.6,2,600
Cheat Death,1.1,1.4,46.8,2,600
Northwatch Commander,1.1,1.9,54.9,2,500
Soul Mirror,2.1,1,54.0,2,500
Disciple of Galakrond,0.7,1.7,53.7,2,500
Frost Lich Jaina,2.1,1,51.8,2,500
Felfire Deadeye,0.9,1.7,55.4,2,500
Tuskpiercer,0.8,1.9,47.9,2,500
Dwarven Sharpshooter,1.4,1.5,54.6,2,500
Bogbeam,0.7,1.9,51.2,2,500
Lost in the Jungle,1.1,1.9,63.3,2,500
Vanessa VanCleef,1.6,1,49.0,2,500
Serpentshrine Portal,1.1,1.7,55.8,2,500
Soulciologist Malicia,1.8,1,50.8,2,500
Outrider's Axe,1.2,1.7,58.3,2,500
Wrenchcalibur,0.7,1.8,55.2,2,500
Breath of Dreams,0.8,1.8,49.5,2,500
Shadowed Spirit,0.9,1.9,49.6,2,500
Plagiarize,1.1,1.3,48.5,2,500
Muster for Battle,1.2,1.9,63.5,2,500
Fungal Fortunes,0.9,1.9,50.8,2,500
Felosophy,1.0,1.5,46.4,2,500
Tamsin Roame,1.6,1,50.4,2,400
Gibberling,1.0,2,62.2,2,400
Sigil of Flame,0.8,1.6,41.6,2,400
Lord Jaraxxus,2.0,1,53.0,2,400
Guess the Weight,0.9,1.6,50.5,2,400
Praise Galakrond!,0.8,1.7,53.0,2,400
Blazing Battlemage,1.1,1.7,53.3,2,400
Fire Fly,0.8,1.7,53.8,2,400
Yogg-Saron, Master of Fate,2.6,1,50.2,2,400
Consecration,1.1,1.7,56.2,2,400
Imprisoned Phoenix,0.8,1.7,49.2,2,400
Sylvanas Windrunner,2.0,1,51.5,2,400
Grumble, Worldshaker,1.4,1,48.7,2,400
Arcane Shot,1.1,1.9,58.6,2,400
Sightless Watcher,0.7,1.9,59.6,2,400
Fire Breather,1.1,1.3,53.1,2,400
Unstable Felbolt,1.0,1.4,53.3,2,400
Lord Barov,2.3,1,52.8,2,400
